iter	Passed	Remaining
0	49	49150
1	50	25174
2	51	17217
3	53	13277
4	54	10856
5	55	9242
6	56	8066
7	58	7216
8	58	6481
9	59	5937
10	61	5539
11	63	5198
12	64	4882
13	65	4601
14	66	4365
15	67	4176
16	68	3980
17	70	3821
18	71	3677
19	72	3541
20	73	3414
21	74	3320
22	75	3195
23	76	3098
24	77	3004
25	77	2916
26	78	2836
27	79	2756
28	80	2682
29	80	2613
30	81	2549
31	82	2487
32	82	2429
33	83	2375
34	84	2322
35	84	2271
36	85	2224
37	86	2177
38	86	2134
39	87	2092
40	87	2050
41	88	2013
42	88	1975
43	89	1940
44	89	1905
45	90	1871
46	90	1839
47	91	1807
48	91	1776
49	91	1747
50	92	1718
51	92	1690
52	93	1663
53	93	1637
54	93	1612
55	94	1587
56	94	1563
57	94	1541
58	95	1518
59	95	1497
60	95	1476
61	96	1455
62	96	1438
63	97	1418
64	97	1399
65	97	1381
66	98	1366
67	98	1349
68	98	1332
69	98	1315
70	99	1298
71	99	1282
72	99	1266
73	99	1251
74	100	1236
75	100	1221
76	100	1207
77	100	1193
78	101	1179
79	101	1165
80	101	1152
81	101	1139
82	101	1126
83	102	1113
84	102	1106
85	103	1095
86	103	1083
87	103	1072
88	103	1062
89	103	1051
90	104	1040
91	104	1030
92	104	1020
93	104	1010
94	105	1000
95	105	991
96	105	982
97	105	973
98	105	964
99	106	955
100	106	946
101	106	938
102	106	930
103	107	922
104	107	914
105	107	906
106	107	898
107	107	890
108	108	883
109	108	875
110	108	868
111	108	861
112	108	854
113	109	847
114	109	840
115	109	834
116	109	827
117	109	820
118	110	814
119	110	808
120	110	802
121	110	795
122	110	789
123	110	784
124	111	778
125	111	772
126	111	766
127	111	761
128	112	756
129	112	751
130	112	745
131	112	740
132	112	735
133	113	730
134	113	725
135	113	720
136	113	715
137	113	711
138	114	706
139	114	701
140	114	697
141	114	692
142	114	687
143	115	683
144	115	679
145	115	675
146	115	670
147	115	666
148	116	662
149	116	658
150	116	654
151	116	650
152	116	646
153	117	642
154	117	639
155	117	635
156	117	631
157	117	627
158	118	624
159	118	620
160	118	616
161	118	613
162	118	610
163	118	606
164	119	603
165	119	599
166	119	596
167	119	593
168	119	590
169	120	586
170	120	583
171	120	580
172	120	577
173	121	574
174	121	571
175	121	568
176	121	565
177	121	562
178	122	559
179	122	556
180	122	554
181	122	551
182	122	548
183	123	545
184	123	543
185	123	540
186	123	537
187	123	535
188	124	532
189	124	529
190	124	527
191	124	524
192	124	522
193	125	519
194	125	517
195	125	514
196	125	512
197	125	509
198	126	507
199	126	505
200	126	502
201	126	500
202	126	498
203	127	496
204	127	493
205	127	491
206	127	489
207	127	487
208	128	485
209	128	482
210	128	480
211	128	478
212	128	476
213	129	474
214	129	472
215	129	470
216	129	468
217	129	466
218	130	464
219	130	462
220	130	460
221	130	458
222	130	456
223	131	454
224	131	452
225	131	450
226	131	448
227	131	446
228	132	444
229	132	443
230	132	442
231	133	440
232	133	438
233	133	436
234	133	435
235	133	433
236	134	431
237	134	429
238	134	428
239	134	426
240	134	424
241	135	423
242	135	421
243	135	419
244	135	418
245	135	416
246	136	414
247	136	413
248	136	411
249	136	410
250	136	408
